Vote by County,Trump,Clinton,Rpt.,State
Bedford,6816,5851,100%,NH
White,6813,2563,100%,IN
McDonough,6789,5278,100%,IL
Pointe Coupee,6789,4764,100%,LA
Shrewsbury,6786,10501,100%,MA
Portland,6786,28505,100%,ME
Lincoln,6779,1105,100%,WY
Carroll,6773,3334,100%,AR
Morgan,6757,1768,100%,MO
Brookings,6748,4879,100%,SD
DeSoto,6744,3761,100%,FL
Dickinson,6743,3051,100%,IA
Abbeville,6742,3712,100%,SC
Gilchrist,6740,1457,100%,FL
Polk,6738,3715,100%,NC
Madison,6735,3899,100%,NC
Bibb,6733,1874,100%,AL
Gadsden,6721,14994,100%,FL
Lincoln,6720,2040,100%,MT
Seneca,6719,5175,100%,NY
Butts,6717,2566,100%,GA
Assumption,6714,3931,100%,LA
Stutsman,6706,2484,100%,ND
Fayette,6705,1358,100%,AL
Dartmouth,6705,8511,100%,MA
Menominee,6704,3539,100%,MI
Wright,6703,1166,100%,MO
Rockbridge,6671,3506,100%,VA
Andrew,6665,2045,100%,MO
Hampshire,6646,1576,100%,WV
North Attleborough,6644,6979,100%,MA
Adair,6637,1323,100%,KY
Howard,6635,1768,100%,TX
Carroll,6627,3305,100%,IA
Grainger,6618,1154,100%,TN
Kewaunee,6616,3623,100%,WI
Toombs,6612,2338,100%,GA
Polk,6606,1210,100%,AR
Tyler,6601,1243,100%,TX
McDonald,6599,1329,100%,MO
Bridgeport,6596,32035,100%,CT
Taylor,6589,2398,100%,WI
Young,6587,873,100%,TX
Branford,6585,8452,100%,CT
Brooke,6574,2549,100%,WV
Spencer,6572,2861,100%,IN
Morgan,6559,2658,100%,GA
Newington,6547,8393,100%,CT
Middleborough,6536,4772,100%,MA
Dodge,6527,3102,100%,MN
Wyoming,6527,1061,100%,WV
Vernon,6526,1706,100%,MO
Marshall,6525,7944,100%,MS
Putnam,6516,2745,100%,GA
Caldwell,6516,4663,100%,TX
Franklin,6514,2506,100%,LA
Morehouse,6502,5155,100%,LA
Gray,6495,699,100%,TX
Tillamook,6486,5701,100%,OR
Breckinridge,6484,1960,100%,KY
Boone,6483,1783,100%,WV
Andover,6478,11019,100%,MA
Caddo,6473,2418,100%,OK
Allen,6466,1349,100%,KY
Danvers,6464,7681,100%,MA
Chattooga,6457,1612,100%,GA
Sevier,6455,673,96%,UT
Patrick,6454,1768,100%,VA
South Windsor,6449,7717,100%,CT
Idaho County,6441,1196,100%,ID
Sanpete,6436,1026,100%,UT
Langlade,6436,3260,100%,WI
Titus,6405,2538,100%,TX
Leon,6391,909,100%,TX
Nodaway,6379,2529,100%,MO
Lampasas,6371,1479,100%,TX
Wayne,6370,1431,100%,KY
Starke,6367,2489,100%,IN
Yancey,6367,3181,100%,NC
Paulding,6359,2068,100%,OH
Lyon,6354,4456,100%,KS
Hale,6347,2090,100%,TX
Milam,6340,2042,100%,TX
Gage,6333,2930,100%,NE
Woodward,6329,871,100%,OK
Bosque,6325,1277,100%,TX
Colorado,6323,1977,100%,TX
North Andover,6308,8350,100%,MA
Okanogan,6305,3980,64%,WA
Pierce,6301,903,100%,GA
Rabun,6287,1443,100%,GA
Beckham,6287,958,100%,OK
Richland,6286,3157,100%,LA
Carroll,6273,1891,100%,IN
Fillmore,6271,3872,100%,MN
Macon,6260,1071,100%,TN
Silver Bow,6252,8545,100%,MT
Potter,6247,1300,100%,PA
Bridgewater,6244,5670,100%,MA
Harrisonburg,6232,10100,100%,VA
Avery,6226,1670,100%,NC
Mitchell,6225,1585,100%,NC
Kalkaska,6213,2279,100%,MI
Scotland,6212,7279,100%,NC
Berlin,6210,4913,100%,CT
Green Lake,6210,2700,100%,WI
Houston,6205,1978,100%,TX
Hendry,6192,4610,100%,FL
Wolcott,6190,2573,100%,CT
Washington,6170,3938,100%,IA
Baker,6160,1781,100%,OR
Finney,6155,3006,100%,KS
Uinta,6154,1202,100%,WY
Owen,6151,1946,100%,IN
Crawford,6146,1969,100%,IL
Worth,6144,2015,100%,GA
Sullivan,6138,2113,100%,IN
Banks,6130,684,100%,GA
Liberty,6125,9531,100%,GA
Wasatch,6115,3063,100%,UT
JoDaviess,6113,4452,100%,IL
Pawtucket,6111,15274,100%,RI
North Kingstown,6110,7729,100%,RI
Jasper,6100,7789,100%,SC
Scott,6074,2642,100%,IN
Johnson,6072,2421,100%,AR
Wakefield,6059,8274,100%,MA
Overton,6055,1943,100%,TN
Park,6053,3351,100%,CO
Grady,6047,3005,100%,GA
New Britain,6046,15433,100%,CT
Scott,6044,934,100%,TN
Fentress,6032,1100,100%,TN
Washington,6031,2366,100%,AL
Adair,6019,3495,100%,MO
Cherokee,6017,1959,100%,KS
Dover,6015,10118,100%,NH
Southbury,6010,5013,100%,CT
Fulton,6010,1960,100%,IN
Decatur,6009,4104,100%,GA
Eastland,6008,776,100%,TX
Bates,6000,1617,100%,MO
Freestone,5995,1461,100%,TX
Bangor,5993,8146,100%,ME
Jefferson,5986,12556,92%,WA
Adams,5983,3780,100%,WI
Walpole,5981,7129,100%,MA
Gem,5980,1229,100%,ID
Farmington,5977,7634,100%,CT
Saline,5977,2787,100%,MO
Jackson,5969,1473,100%,OK
Waseca,5967,2838,100%,MN
King William,5963,2752,100%,VA
Wayne,5957,3493,100%,MS
Cassia,5949,1036,100%,ID
Greene,5943,2923,100%,VA
Grenada,5940,4386,100%,MS
Marlborough,5938,10532,100%,MA
Dawson,5935,2116,100%,NE
Manassas,5934,8395,100%,VA
Giles,5930,1949,100%,VA
Groton,5929,8439,100%,CT
Newton,5929,2549,100%,MS
Monroe,5922,4520,100%,CT
Dickinson,5905,1582,100%,KS
Garrard,5904,1453,100%,KY
Dallas,5895,1271,100%,MO
Lincoln,5889,2329,100%,NM
Smith,5877,1598,100%,MS
Martin,5874,5814,100%,NC
Clay,5870,2246,100%,IA
Clay,5861,752,100%,KY
Val Verde,5856,6920,100%,TX
Osage,5845,998,100%,MO
Sandwich,5836,5958,100%,MA
LaSalle,5835,605,100%,LA
Dixie,5822,1270,100%,FL
Jackson,5821,3837,100%,IA
Lamar,5819,1035,100%,AL
Elmore,5816,1814,100%,ID
Yarmouth,5813,7238,100%,MA
Orange,5800,2048,100%,IN
Macon,5794,1518,100%,MO
Hockley,5793,1257,100%,TX
Glenn,5788,3065,100%,CA
Wethersfield,5788,7725,100%,CT
Dallas,5784,12826,100%,AL
Union,5780,2389,100%,IL
Monroe,5771,4310,100%,AL
Henry,5764,2897,90%,IA
Caswell,5758,4549,100%,NC
Lake,5752,6240,100%,CA
Pike,5749,1412,100%,IL
Limestone,5747,1748,100%,TX
Scott,5742,3999,100%,MS
Cleburne,5738,684,100%,AL
Logan,5737,1712,100%,AR
Richland,5736,1579,100%,IL
O'Brien,5735,1314,100%,IA
Wasco,5721,4634,100%,OR
Jones,5718,3779,100%,IA
Morgan,5718,1568,100%,WV
Appomattox,5714,2023,100%,VA
Hancock,5713,1744,100%,IL
Asotin,5712,3118,86%,WA
Jay,5697,1889,100%,IN
Douglas,5695,1946,100%,IL
Delaware,5688,2956,100%,IA
Hickman,5685,1823,100%,TN
Colonial Heights,5681,2367,100%,VA
Fulton,5676,904,100%,PA
Ridgefield,5673,7907,100%,CT
West Warwick,5671,5480,100%,RI
Gasconade,5670,1519,100%,MO
Vernon,5666,7084,100%,CT
Unicoi,5666,1260,100%,TN
Fountain,5661,1476,100%,IN
Norwood,5657,8902,100%,MA
Yankton,5654,3301,100%,SD
White,5639,1412,100%,IL
Kossuth,5637,2529,100%,IA
Dillon,5637,5832,100%,SC
Edgar,5634,1778,100%,IL
Henry,5623,2286,100%,AL
Piatt,5623,2633,100%,IL
Cooper,5623,1932,100%,MO
Clark,5620,1873,100%,IL
Houston,5616,4145,100%,MN
Seminole,5612,2067,100%,OK
Rockcastle,5609,915,100%,KY
Dent,5599,978,100%,MO
Grayson,5593,1407,100%,VA
Fayette,5591,3666,100%,IA
Tipton,5589,1587,100%,IN
Copiah,5576,6203,100%,MS
Bourbon,5569,2791,100%,KY
East Feliciana,5569,4235,100%,LA
Washington,5566,1446,100%,IL
Brantley,5561,619,100%,GA
Fitchburg,5545,8491,100%,MA
Benzie,5539,4108,100%,MI
West Springfield,5537,5710,100%,MA
Malden,5536,15759,100%,MA
San Benito,5530,8309,100%,CA
Saluda,5525,2809,100%,SC
Converse,5520,668,100%,WY
Aitkin,5516,3134,100%,MN
De Witt,5510,1161,100%,TX
Duchesne,5505,500,100%,UT
Buchanan,5504,3966,100%,IA
McIntosh,5501,2122,100%,OK
Ste. Genevieve,5495,2540,100%,MO
Appling,5492,1434,100%,GA
Greene,5488,3194,100%,GA
Douglas,5486,984,100%,MO
Smith,5485,1688,100%,TN
Casey,5482,767,100%,KY
Concordia,5474,3272,100%,LA
Whitman,5462,5521,64%,WA
Columbia,5456,3140,100%,AR
St. James,5456,6418,100%,LA
Pickens,5454,3972,100%,AL
Roseau,5451,1856,100%,MN
Seward,5451,1881,100%,NE
Harrison,5435,2031,100%,KY
Marion,5434,8522,100%,SC
McDuffie,5432,3699,100%,GA
Barbour,5431,4848,100%,AL
Morgan,5429,1053,100%,TN
Woonsocket,5428,6324,100%,RI
Covington,5423,3267,100%,MS
Salem,5417,14743,100%,MA
Burlington,5413,7551,100%,MA
Burnett,5412,2948,100%,WI
Jim Wells,5411,6688,100%,TX
Berrien,5408,1041,100%,GA
Sharp,5405,1472,100%,AR
Peach,5405,5083,100%,GA
Washburn,5404,3283,100%,WI
Lincoln,5400,5251,100%,RI
Johnson,5400,988,100%,TN
Klickitat,5390,3781,86%,WA
Missaukee,5386,1565,100%,MI
Van Buren,5382,1547,100%,AR
Towns,5377,1206,100%,GA
Simsbury,5357,7825,100%,CT
Ouachita,5347,4320,100%,AR
Gloucester,5345,9714,100%,MA
Moniteau,5344,1237,100%,MO
Ashley,5338,2408,100%,AR
Pacific,5338,4597,100%,WA
Jefferson,5337,2892,100%,OR
Madison,5336,2666,100%,IA
Winneshiek,5332,5238,100%,IA
Emanuel,5330,2433,100%,GA
Auburn,5324,5296,100%,ME
Gulf,5320,1715,100%,FL
Hart,5320,1730,100%,KY
Reading,5318,8673,100%,MA
Burleson,5316,1491,100%,TX
Apache,5315,12196,100%,AZ
Clayton,5309,3236,100%,IA
Nobles,5299,2733,100%,MN
Moffat,5293,874,100%,CO
Rush,5292,1525,100%,IN
Floyd,5289,2300,100%,VA
Union,5288,2227,100%,SD
Chaffee,5283,4773,100%,CO
Sumter,5275,5520,100%,GA
Cedar,5275,3578,100%,IA
Pike,5274,1806,100%,MO
Montour,5274,2851,100%,PA
New Madrid,5270,1933,100%,MO
Elbert,5269,2507,100%,GA
Lincoln,5257,1435,100%,WV
Grant,5251,6226,100%,NM
Lewis,5245,1336,100%,WV
Hardee,5238,2147,100%,FL
Labette,5232,2234,100%,KS
Hardin,5231,2774,100%,IA
Milford,5231,7325,100%,MA
Clay,5230,1234,100%,AL
Kanabec,5230,2327,100%,MN
Smithfield,5228,4384,100%,RI
Stoneham,5225,6904,100%,MA
Marengo,5224,5607,100%,AL
East Hartford,5220,13285,100%,CT
Norwich,5217,7453,100%,CT
Meriwether,5216,3800,100%,GA
Iowa,5193,3070,100%,IA
Sibley,5193,1954,100%,MN
Easton,5190,5845,100%,MA
Lyon,5188,917,100%,IA
Mariposa,5185,3122,100%,CA
Lamar,5183,2267,100%,GA
Carbon,5182,1696,100%,UT
Yates,5180,3219,100%,NY
Schuyler,5179,2761,100%,NY
Rowan,5174,3295,100%,KY
Hughes,5174,2449,100%,SD
Jackson,5169,2139,100%,LA
DeKalb,5164,1566,100%,TN
Grant,5160,1407,100%,AR
Bourne,5157,4782,100%,MA
Davison,5157,2355,100%,SD
Kingfisher,5151,783,100%,OK
Routt,5149,7487,100%,CO
Redwood,5137,1887,100%,MN
Del Norte,5134,3485,100%,CA
Staunton,5129,5329,100%,VA
Adams,5125,6921,100%,MS
Marion,5122,2679,100%,KY
Jefferson,5112,2483,100%,KS
Ludlow,5098,4483,100%,MA
Polk,5097,1252,100%,TN
Tattnall,5092,1678,100%,GA
Northumberland,5089,2830,100%,VA
Poquoson,5089,1599,100%,VA
Clarke,5088,2556,100%,MS
Plumas,5079,3224,100%,CA
Marion,5077,1377,100%,AR
Simpson,5077,2144,100%,KY
DeWitt,5072,1907,100%,IL
Summit,5064,9502,100%,CO
Somerset,5056,3484,100%,MD
Mansfield,5054,6826,100%,MA
Mills,5050,2080,100%,IA
Dade,5047,965,100%,GA
Wareham,5046,5343,100%,MA
Southampton,5035,3595,100%,VA
Franklin,5034,1376,100%,AR
Wayne,5034,717,100%,TN
Union,5024,1010,100%,TN
Dodge,5021,1836,100%,GA
Harrison,5021,1663,100%,OH
Cedar,5019,1010,100%,MO
Brown,5015,2518,100%,IN
McCreary,5012,664,100%,KY
Clay,5009,1014,100%,IL
Goffstown,5009,4146,100%,NH
Lee,4996,1372,100%,TX
Ford,4994,2032,100%,KS
Westerly,4984,5251,100%,RI
Tama,4968,3194,100%,IA
Barton,4958,795,100%,MO
Henry,4944,1828,100%,KY
Mason,4944,1970,100%,KY
Poweshiek,4936,4272,100%,IA
Dickenson,4932,1335,100%,VA
Guilford,4929,7864,100%,CT
Trigg,4928,1587,100%,KY
Humphreys,4928,1967,100%,TN
Butler,4918,2163,100%,IA
Scarborough,4918,6893,100%,ME
Madison,4917,1587,100%,AR
Hardeman,4912,4174,100%,TN
Stoughton,4910,8396,100%,MA
Jackson,4907,3821,100%,WI
Pembroke,4905,4616,100%,MA
Buena Vista,4895,2851,100%,IA
McKinley,4893,13162,100%,NM
Harrison,4892,2123,100%,IA
Butler,4891,3716,100%,AL
Renville,4890,2117,100%,MN
Jackson,4889,482,100%,KY
Barnwell,4888,4395,100%,SC
Minidoka,4887,1167,100%,ID
Bond,4884,2066,100%,IL
Lauderdale,4884,3656,100%,TN
Bristol,4884,1832,100%,VA
Livingston,4879,1265,100%,MO
Page,4875,1801,100%,IA
Winston,4874,3778,100%,MS
Alleghany,4873,2165,100%,VA
Park,4872,3521,100%,MT
Parke,4863,1441,100%,IN
Natick,4863,13203,100%,MA
Williamsburg,4863,9949,100%,SC
Waterford,4861,5233,100%,CT
Windham,4859,4305,100%,ME
Callahan,4858,568,100%,TX
Madison,4849,3526,100%,FL
Conway,4844,2655,100%,AR
Massac,4844,1555,100%,IL
Wadena,4837,1684,100%,MN
Otoe,4833,2017,100%,NE
Uvalde,4828,3863,100%,TX
Bollinger,4827,705,100%,MO
Windham,4825,3507,100%,NH
Lawrence,4816,1045,100%,KY
Jones,4815,935,100%,TX
Stone,4810,1400,100%,MS
Iowa,4809,6669,100%,WI
Hampton,4802,4953,100%,NH
Mercer,4800,3061,100%,IL
LaRue,4799,1278,100%,KY
Waynesboro,4798,3762,100%,VA
Melrose,4791,10548,100%,MA
Winchester,4786,5161,100%,VA
Monroe,4781,1647,100%,OH
Leake,4775,3579,100%,MS
Hingham,4771,8305,100%,MA
Dedham,4765,8550,100%,MA
Richland,4759,2064,100%,ND
Cass,4755,1946,100%,IA
Adair,4753,1374,100%,OK
Bee,4743,3443,100%,TX
Trinity,4737,1154,100%,TX
Pittsfield,4736,13767,100%,MA
Sanford,4733,4438,100%,ME
Fleming,4722,1348,100%,KY
Pawnee,4716,1341,100%,OK
Benton,4715,1474,100%,TN
Osage,4713,1730,100%,KS
Marquette,4712,2808,100%,WI
Arenac,4704,2238,100%,MI
Amelia,4704,2150,100%,VA
Union,4701,1331,100%,KY
Taylor,4701,1483,100%,WV
York,4686,1181,100%,NE
Oxford,4685,2398,100%,CT
Canton,4670,7161,100%,MA
Robertson,4665,2203,100%,TX
Faribault,4659,2153,100%,MN
Westford,4657,7760,100%,MA
Clarke,4657,3047,100%,VA
Calhoun,4647,1236,100%,FL
Johnson,4644,1135,100%,IL
Wayne,4640,946,100%,MO
Calhoun,4638,2118,100%,TX
Darien,4625,5942,100%,CT
Arlington,4625,20159,100%,MA
Sawyer,4625,2846,100%,WI
Pelham,4624,2719,100%,NH
Oglethorpe,4622,1829,100%,GA
Custer,4616,635,100%,NE
Texas,4615,855,100%,OK
McDowell,4614,1429,100%,WV
South Kingstown,4611,8629,100%,RI
Crawford,4608,1985,100%,IA
Winn,4605,1643,100%,LA
Pendleton,4604,1164,100%,KY
Holden,4602,5553,100%,MA
Yell,4600,1472,100%,AR
Kent,4598,4178,100%,MD
Gonzales,4580,1567,100%,TX
Cross,4577,1995,100%,AR
Yazoo,4568,5221,100%,MS
Union,4567,1014,100%,FL
Rusk,4564,2171,100%,WI
Price,4562,2671,100%,WI
Perry,4556,3062,100%,IN
Somerset,4548,4872,100%,MA
Hardy,4544,1249,100%,WV
New Canaan,4541,5767,100%,CT
Washington,4541,9847,100%,MS
Crisp,4539,2835,100%,GA
Humboldt,4521,1386,100%,NV
Ripley,4520,830,100%,MO
Lawrence,4517,1288,100%,IL
Grundy,4516,1847,100%,IA
Crenshaw,4511,1663,100%,AL
Vermillion,4511,2081,100%,IN
Barbour,4509,1213,100%,WV
Randolph,4508,1425,100%,AR
Caldwell,4507,1260,100%,KY
Madison,4500,5935,100%,CT
Bethel,4492,4735,100%,CT
Plainville,4492,3802,100%,CT
Burke,4491,4730,100%,GA
Presque Isle,4486,2400,100%,MI
New Haven,4483,34577,100%,CT
Anson,4480,5785,100%,NC
Ford,4474,1410,100%,IL
North Branford,4473,2933,100%,CT
Grand,4467,3319,100%,CO
Wetzel,4461,1348,100%,WV
Scituate,4457,6510,100%,MA
Beadle,4455,1912,100%,SD
East Lyme,4453,6005,100%,CT
Moultrie,4453,1476,100%,IL
Hamilton,4450,2715,100%,IA
Noble,4441,1201,100%,OH
East Longmeadow,4440,4086,100%,MA
Seymour,4439,2777,100%,CT
Sequatchie,4434,1051,100%,TN
Carroll,4428,2437,100%,IL
Butler,4428,947,100%,KY
Madison,4418,2202,100%,VA
Goshen,4418,924,100%,WY
Carbon,4409,1279,100%,WY
Scurry,4403,733,100%,TX
Clark,4398,3606,100%,AR
Pike,4398,1297,100%,IN
Webster,4397,1240,100%,KY
Clay,4395,1352,100%,NC
Hempstead,4391,2371,100%,AR
Avon,4382,5616,100%,CT
Clay,4376,536,100%,TX
Green,4372,832,100%,KY
Floyd,4371,3177,100%,IA
Kleberg,4364,4713,100%,TX
Pend Oreille,4364,1932,100%,WA
Lewis,4363,785,100%,KY
Norton,4361,4474,100%,MA
Calhoun,4360,1884,100%,MS
Greene,4358,3570,100%,NC
Knott,4357,1245,100%,KY
Crawford,4354,2110,100%,MI
Jasper,4353,1544,100%,GA
Shelby,4340,1649,100%,IA
Neosho,4340,1464,100%,KS
Grant,4338,510,100%,WV
Monroe,4337,1089,100%,WV
Colchester,4332,4236,100%,CT
Rocky Hill,4331,5090,100%,CT
Westmoreland,4331,3723,100%,VA
Swansea,4329,3894,100%,MA
Morgan,4315,1711,100%,OH
Bourbon,4314,1306,100%,KS
Greene,4309,956,100%,MS
Payette,4306,892,100%,ID
New Fairfield,4304,3072,100%,CT
Laconia,4303,3303,100%,NH
Comanche,4300,788,100%,TX
Attala,4288,2847,100%,MS
Rockland,4285,4342,100%,MA
Amite,4282,2688,100%,MS
Milton,4281,10653,100%,MA
Craig,4279,1249,100%,OK
Monroe,4278,601,100%,KY
Westport,4275,4340,100%,MA
Holt,4275,522,100%,NE
Mitchell,4272,3492,100%,GA
Sanders,4268,1211,100%,MT
Warren,4267,2983,100%,IL
Jackson,4266,904,100%,TX
Marlboro,4257,5928,100%,SC
Bolivar,4251,8410,100%,MS
Inyo,4248,3155,100%,CA
Hanover,4248,3705,100%,MA
Estill,4236,1108,100%,KY
Fergus,4235,1196,100%,MT
Archuleta,4234,2489,100%,CO
Menard,4230,1808,100%,IL
Pamlico,4225,2427,100%,NC
Hooksett,4225,3436,100%,NH
Orange,4221,3834,100%,CT
Red Willow,4212,638,100%,NE
Blanco,4212,1244,100%,TX
Choctaw,4202,1064,100%,OK
Marshall,4202,1095,100%,OK
Alcona,4201,1732,100%,MI
Cumberland,4200,1028,100%,IL
Ellington,4199,3531,100%,CT
Cherokee,4188,1676,100%,IA
Cook,4175,1752,100%,GA
Murray,4173,1086,100%,OK
Foxborough,4157,5094,100%,MA
Montville,4156,3340,100%,CT
Nelson,4150,3677,100%,VA
Perquimans,4143,2291,100%,NC
Westport,4139,10427,100%,CT
Greene,4139,1202,100%,IL
Washington,4138,4187,100%,GA
Clay,4136,5695,100%,MS
Edmonson,4135,979,100%,KY
Perry,4135,1220,100%,MS
Burrillville,4129,2544,100%,RI
Chickasaw,4127,3649,100%,MS
Bayfield,4125,4953,100%,WI
Montgomery,4124,1118,100%,MO
Franklin,4119,1738,100%,FL
Geary,4116,2569,98%,KS
Choctaw,4102,3109,100%,AL
Jeff Davis,4102,901,100%,GA
Madison,4102,1005,100%,MO
Jefferson,4099,1975,100%,MT
Prince Edward,4099,4590,100%,VA
Lincoln,4095,1238,75%,WA
Fremont,4091,651,100%,ID
Linn,4084,1239,100%,MO
Stone,4081,1189,100%,AR
Stonington,4081,5635,100%,CT
Newton,4074,1403,100%,IN
Allamakee,4072,2409,100%,IA
Lawrence,4072,2181,100%,MS
Atoka,4068,795,100%,OK
Saco,4067,5904,100%,ME
Big Horn,4067,594,100%,WY
Nemaha,4066,714,100%,KS
Lawrence,4064,1263,100%,AR
East Bridgewater,4064,3157,100%,MA
Somerville,4064,32903,100%,MA
Bellingham,4056,4027,100%,MA
Mason,4051,2008,100%,IL
Buffalo,4049,2531,100%,WI
Bristol,4045,5731,100%,RI
Izard,4042,1111,100%,AR
Wabash,4039,1146,100%,IL
Lake,4038,2314,100%,SD
Jasper,4032,4367,100%,MS
Appanoose,4031,1813,100%,IA
Dakota,4028,2904,100%,NE
Fairfield,4024,6936,100%,SC
Richland,4021,3577,100%,WI
Gogebic,4019,2925,100%,MI
Needham,4017,12788,100%,MA
Leslie,4015,400,100%,KY
Holyoke,4014,11607,100%,MA
Windsor,4013,11370,100%,CT
Washington,4013,1420,100%,KY
Wilbraham,4009,3742,100%,MA
Cannon,4006,1126,100%,TN
Pennington,4000,2146,100%,MN
Sabine,3992,614,100%,TX
Breathitt,3991,1537,100%,KY
Abington,3989,4075,100%,MA
North Reading,3986,4283,100%,MA
Chowan,3983,2965,100%,NC
Atchison,3977,1946,100%,KS
Crockett,3977,1302,100%,TN
Lafayette,3977,3288,100%,WI
Moore,3974,1096,100%,TX
Jasper,3973,924,100%,IL
Hancock,3972,1582,100%,IA
West Carroll,3970,715,100%,LA
Ralls,3969,1138,100%,MO
Buckingham,3969,3128,100%,VA
Drew,3967,2364,100%,AR
Pemiscot,3964,1946,100%,MO
Webster,3949,1001,100%,MS
Gorham,3945,4995,100%,ME
South Portland,3945,9901,100%,ME
Northbridge,3939,3376,100%,MA
Auburn,3936,4408,100%,MA
Everett,3932,9439,100%,MA
Jefferson,3930,3537,100%,FL
Marion,3928,1177,100%,KS
Andrews,3925,836,100%,TX
Red River,3924,1148,100%,TX
Teton,3920,7313,100%,WY
Rains,3919,619,100%,TX
Killingly,3916,2491,100%,CT
Tolland,3908,4020,100%,CT
Gaines,3907,597,100%,TX
Franklin,3901,385,100%,ID
Portsmouth,3901,4901,100%,RI
Watertown,3891,12942,100%,MA
Jackson,3888,1489,100%,KS
Richland,3885,669,100%,MT
Hopewell,3885,4722,100%,VA
Grafton,3872,5333,100%,MA
Roosevelt,3865,1445,100%,NM
Stewart,3864,1222,100%,TN
Millard,3860,431,100%,UT
Charlton,3855,2708,100%,MA
Pulaski,3854,1327,100%,IN
Wilmington,3852,3291,100%,MA
Winthrop,3851,5193,100%,MA
Washita,3851,588,100%,OK
Milford,3850,3816,100%,NH
Crawford,3844,3426,100%,WI
Mashpee,3839,4448,100%,MA
Duxbury,3837,5012,100%,MA
Phelps,3832,571,100%,NE
Keene,3831,7932,100%,NH
McLean,3827,1070,100%,ND
Chester,3827,902,100%,TN
Arkansas,3825,1939,100%,AR
Magoffin,3824,1172,100%,KY
Fairhaven,3824,4259,100%,MA
Caldwell,3822,788,100%,LA
Clinton,3809,547,100%,KY
Augusta,3805,4396,100%,ME
Raynham,3800,3316,100%,MA
Whitman,3800,3379,100%,MA
Vinton,3799,1332,100%,OH
Pope,3793,2106,100%,MN
Wright,3790,1890,100%,IA
Suffield,3789,3334,100%,CT
Boundary,3789,933,100%,ID
Alleghany,3789,1300,100%,NC
Calhoun,3785,3569,100%,SC
Archer,3785,394,100%,TX
Wilton,3783,6055,100%,CT
Clay,3779,1999,100%,AR
Marshall,3776,1784,100%,IL
Carroll,3774,1648,100%,MS
Roane,3772,1220,100%,WV
Hudson,3770,5997,100%,MA
Plymouth,3767,1884,100%,CT
Chippewa,3764,1978,100%,MN
Hamilton,3763,873,100%,NE
Tiverton,3763,4009,100%,RI
Marblehead,3759,8108,100%,MA
Bienville,3756,3129,100%,LA
Yuma,3755,701,100%,CO
Dennis,3751,4887,100%,MA
Owen,3745,1062,100%,KY
Gooding,3743,930,100%,ID
Mackinac,3740,2085,100%,MI
Chickasaw,3739,2264,100%,IA
Lynnfield,3739,3122,100%,MA
Jefferson,3738,3702,100%,IA
Ben Hill,3734,2098,100%,GA
Fredericksburg,3731,6690,100%,VA
Biddeford,3729,5505,100%,ME
Carbon,3729,1824,100%,MT
Bleckley,3717,1094,100%,GA
Mercer,3715,616,100%,ND
Nottoway,3712,2829,100%,VA
Noble,3707,901,100%,OK
Prospect,3701,1661,100%,CT
Haskell,3697,882,100%,OK
Martin,3695,881,100%,IN
Torrance,3695,1770,100%,NM
Fairfax City,3695,7363,100%,VA
Uxbridge,3694,3254,100%,MA
Sac,3692,1269,100%,IA
Brooks,3679,2504,100%,GA
Cottonwood,3679,1678,100%,MN
Iron,3675,2004,100%,MI
Oregon,3668,865,100%,MO
Middlesex,3668,2107,100%,VA
McKenzie,3661,696,100%,ND
Las Animas,3656,2614,100%,CO
Santa Cruz,3650,10684,100%,AZ
East Hampton,3648,3210,100%,CT
Brunswick,3646,7991,100%,ME
Ozark,3639,724,100%,MO
Custer,3638,1172,100%,MT
Winchester,3634,7766,100%,MA
Crawford,3632,1419,100%,GA
Portsmouth,3632,8911,100%,NH
Stillwater,3630,904,100%,MT
Morgan,3628,1006,100%,KY
Grundy,3626,998,100%,TN
Ansonia,3621,3532,100%,CT
Bledsoe,3621,896,100%,TN
Todd,3612,1042,100%,KY
Cheyenne,3610,702,100%,NE
Jackson,3609,1492,100%,MN
Little River,3604,1397,100%,AR
Guthrie,3603,1720,100%,IA
Mississippi,3600,1458,100%,MO
Claiborne,3585,2717,100%,LA
Rio Arriba,3583,9534,100%,NM
Franklin,3583,665,100%,TX
Ledyard,3581,3330,100%,CT
Pushmataha,3581,748,100%,OK
Decatur,3580,894,100%,TN
Kingston,3579,3471,100%,MA
Lewis,3579,890,100%,TN
Allen,3575,1398,100%,KS
Oxford,3572,2736,100%,MA
Westbrook,3572,5431,100%,ME
Mendocino,3571,6905,100%,CA
Livingston,3570,887,100%,KY
Webster,3570,3110,100%,MA
Koochiching,3569,2306,100%,MN
Humboldt,3564,1251,100%,IA
Seekonk,3563,3659,100%,MA
Rehoboth,3562,2768,100%,MA
Maries,3559,794,100%,MO
Swain,3557,2186,100%,NC
Northampton,3556,6113,100%,NC
Nolan,3551,1029,100%,TX
Box Butte,3550,953,100%,NE
DeKalb,3540,824,100%,MO
Hickory,3539,1016,100%,MO
Cedar,3533,572,100%,NE
Gardner,3528,4163,100%,MA
Camden,3527,1266,100%,NC
Union,3521,1920,100%,IA
Lancaster,3520,2862,100%,VA
Scituate,3518,2034,100%,RI
Lawrence,3517,19689,100%,MA
Braxton,3516,1315,100%,WV
Mathews,3515,1563,100%,VA
Powell,3513,1272,100%,KY
Plainfield,3512,2177,100%,CT
Prowers,3508,1173,100%,CO
