Vote by County,Trump,Clinton,Rpt.,State
Santa Barbara,53740,100120,100%,CA
St. Clair,53479,60180,100%,IL
Cabarrus,53224,35048,100%,NC
Martin,53182,30158,100%,FL
Jackson,53083,43550,100%,OR
Davidson,52870,17328,100%,NC
Mahoning,52808,56188,100%,OH
Richland,52753,108401,100%,SC
Sumter,52722,22631,100%,FL
St. Joseph,52019,52247,100%,IN
Bell,51780,37608,100%,TX
Washington,51729,20854,100%,WI
Hall,51681,16153,100%,GA
Outagamie,51579,38117,100%,WI
Saratoga,51088,46546,100%,NY
Kalamazoo,51031,67142,100%,MI
San Luis Obispo,50755,61021,100%,CA
Nueces,50704,49102,100%,TX
Cumberland,50593,70523,100%,NC
Washtenaw,50335,128025,100%,MI
Osceola,50252,85287,100%,FL
Sumner,50105,18153,100%,TN
Sangamon,49823,40731,100%,IL
Franklin,49554,17322,100%,PA
Licking,49346,26360,100%,OH
Niagara,49223,32888,100%,NY
Randolph,49156,13074,100%,NC
St. Clair,49067,24553,100%,MI
Caddo,48977,53448,100%,LA
Livingston,48797,6950,100%,LA
Solano,48712,94622,100%,CA
Hidalgo,48608,118739,100%,TX
Indian River,48564,28997,100%,FL
Oneida,48490,30749,100%,NY
Hendricks,48326,22595,100%,IN
McLennan,48245,27046,100%,TX
Linn,48183,58481,100%,IA
Trumbull,48152,42130,100%,OH
Mesa,48129,20958,100%,CO
Lackawanna,48102,51593,100%,PA
Catawba,48062,21050,100%,NC
Atlantic,47882,54472,100%,NJ
Tuscaloosa,47701,31746,100%,AL
El Dorado,47633,35243,100%,CA
San Mateo,47627,192035,100%,CA
Stearns,47618,25575,100%,MN
Shasta,47587,20471,100%,CA
DeKalb,47531,239131,100%,GA
Greene,47506,28023,100%,OH
Davis,46985,22575,84%,UT
Kitsap,46762,60561,94%,WA
Canyon,46755,16683,100%,ID
Racine,46620,42506,100%,WI
Alachua,46584,75370,100%,FL
Sussex,46486,24132,100%,NJ
Parker,46433,8329,100%,TX
Thurston,46219,65015,94%,WA
Rankin,46168,13741,100%,MS
Beaver,46081,30225,100%,PA
Aiken,45981,25426,100%,SC
Henry,45641,49902,100%,GA
Hudson,45615,149980,95%,NJ
Benton,45594,25173,94%,WA
Sullivan,45577,11910,100%,TN
Saginaw,45469,44395,100%,MI
Johnson,45456,17318,100%,IN
Comal,44996,14166,100%,TX
Ellis,44807,16197,100%,TX
Howard,44792,93808,100%,MD
Sarpy,44649,27704,100%,NE
Paulding,44646,18004,100%,GA
St. Louis,44631,57769,100%,MN
Kootenai,44449,16264,100%,ID
Johnson,44370,10976,100%,TX
Ingham,44354,81266,100%,MI
Albany,44227,74775,100%,NY
Berkeley,44223,30492,100%,SC
Schuylkill,43937,16724,100%,PA
Deschutes,43667,40222,100%,OR
Chatham,43649,58998,100%,GA
Denver,43637,174611,100%,CO
Kanawha,43464,27985,100%,WV
Winnebago,43447,37054,100%,WI
Randall,43379,8340,100%,TX
Wright,43274,20336,100%,MN
Monroe,43255,26859,100%,MI
Fairfield,43163,24150,100%,OH
Columbia,43060,18863,100%,GA
Kenton,42958,24213,100%,KY
Jefferson,42828,42404,100%,TX
Mercer,42604,93721,100%,NJ
Coweta,42513,16572,100%,GA
Brunswick,42440,23117,100%,NC
Rowan,42388,19208,100%,NC
Butte,42193,38676,100%,CA
DeSoto,42155,19892,100%,MS
Minnehaha,42043,30610,100%,SD
Elkhart,41810,20667,100%,IN
Ouachita,41712,24420,100%,LA
Cambria,40510,17798,100%,PA
Vanderburgh,40422,28296,100%,IN
Washington,40418,32296,100%,AR
Whatcom,40247,59402,98%,WA
Beaufort,39986,29577,100%,SC
Canadian,39969,11666,100%,OK
Scott,39948,28502,100%,MN
Jackson,39793,25795,100%,MI
Cass,39738,31291,100%,ND
Harrison,39710,20679,100%,MS
Yakima,39593,28484,93%,WA
Hanover,39592,19360,100%,VA
Washington,39566,9583,100%,UT
Sussex,39329,62607,100%,DE
Wilson,39304,14356,100%,TN
Scott,39083,40302,100%,IA
Boone,39082,15026,100%,KY
Marathon,39010,26476,100%,WI
Portage,38978,31463,100%,OH
Washington,38842,19193,100%,MD
Lebanon,38804,17860,100%,PA
Boulder,38766,124715,100%,CO
Porter,38719,33531,100%,IN
Yellowstone,38675,21117,100%,MT
Brazos,38662,23041,100%,TX
Berrien,38646,29496,100%,MI
Tazewell,38620,20568,100%,IL
Hunterdon,38565,28797,100%,NJ
Weber,38447,22187,100%,UT
Alamance,38235,29268,100%,NC
Broome,38077,35212,100%,NY
Tulare,38062,27975,100%,CA
Boston,37756,216754,100%,MA
Sonoma,37421,116027,100%,CA
Morgan,37392,11216,100%,AL
Blount,37385,12085,100%,TN
Blair,37224,13093,100%,PA
McLean,37081,35918,100%,IL
Midland,36896,9993,100%,TX
Rapides,36814,18318,100%,LA
Guadalupe,36495,18308,100%,TX
Onslow,36342,17156,100%,NC
Miami,36311,12832,100%,OH
Boone,36146,41072,100%,MO
Ascension,36135,16471,100%,LA
Pickens,36096,10327,100%,SC
Kenosha,36025,35770,100%,WI
Muskegon,35962,36640,100%,MI
Saline,35852,13247,100%,AR
Richland,35805,15629,100%,OH
Olmsted,35668,36266,100%,MN
Henderson,35535,19664,100%,NC
Lycoming,35475,12926,100%,PA
Bossier,35451,12638,100%,LA
Franklin,35420,12339,100%,MO
Houston,35351,22460,100%,GA
Shawnee,35349,33270,100%,KS
Peoria,35299,37436,100%,IL
Grayson,35274,10276,100%,TX
Pitt,35191,40967,100%,NC
Centre,35099,36555,100%,PA
Jasper,35058,10565,100%,MO
Fayette,35034,23255,100%,GA
Dorchester,34932,24010,100%,SC
Spotsylvania,34619,24204,100%,VA
San Francisco,34493,312443,100%,CA
Bronx,34424,318403,100%,NY
Fayette,34388,17826,100%,PA
Lee,34321,20987,100%,AL
Clark,34311,22666,100%,OH
Nassau,34221,10849,100%,FL
Washington,34179,13003,100%,TN
Douglas,34112,13891,100%,OR
Tangipahoa,33933,16869,100%,LA
Montgomery,33928,58669,100%,AL
Stafford,33840,27879,100%,VA
Allegan,33812,17932,100%,MI
Flagler,33804,21985,100%,FL
Hays,33730,33117,100%,TX
Kent,33347,36989,100%,DE
Champaign,33235,49694,100%,IL
Taylor,33172,10047,100%,TX
Cass,33006,14816,100%,MO
Ulster,32962,40010,100%,NY
Calhoun,32803,13197,100%,AL
Cullman,32734,3730,100%,AL
Linn,32683,17456,100%,OR
Burleigh,32499,10865,100%,ND
Madison,32376,18595,100%,IN
Sheboygan,32368,22636,100%,WI
Montgomery,32320,21686,100%,TN
Etowah,32132,10350,100%,AL
Lafourche,31958,8423,100%,LA
Rensselaer,31933,30039,100%,NY
Terrebonne,31900,10664,100%,LA
Wood,31734,26440,100%,OH
Monroe,31706,31930,100%,PA
Wayne,31622,14670,100%,OH
St. Clair,31579,5550,100%,AL
Calhoun,31489,24154,100%,MI
Rock,31483,39336,100%,WI
Adams,31249,14077,100%,PA
Jackson,31204,13087,100%,MS
Walton,31093,8279,100%,GA
Columbiana,31086,12273,100%,OH
Sherburne,31049,13299,100%,MN
Fond du Lac,31044,17391,100%,WI
Christian,30941,8505,100%,MO
Rogers,30893,7895,100%,OK
Roanoke,30857,16787,100%,VA
Tippecanoe,30711,27207,100%,IN
Bedford,30578,9733,97%,VA
Houston,30567,10547,100%,AL
Ozaukee,30458,20167,100%,WI
Moore,30273,16148,100%,NC
Flathead,30079,13233,100%,MT
Lapeer,30037,12734,100%,MI
Mercer,30034,17631,100%,PA
Clark,30012,18791,100%,IN
Carroll,29983,12422,100%,GA
Bartow,29879,8204,100%,GA
Allen,29858,12815,100%,OH
Pennington,29804,14074,100%,SD
Bradley,29761,7070,100%,TN
Geauga,29577,17165,100%,OH
Kaufman,29537,10265,100%,TX
Highlands,29509,14901,100%,FL
Florence,29498,26630,100%,SC
Cameron,29432,59319,100%,TX
Chautauqua,29418,17281,100%,NY
Warren,29393,16991,100%,NJ
Prince George's,29290,313627,100%,MD
Marshall,29217,4913,100%,AL
Faulkner,29170,14525,100%,AR
Carver,29057,21508,100%,MN
Daviess,28907,14163,100%,KY
Walworth,28848,18706,100%,WI
Limestone,28824,9340,100%,AL
Sebastian,28769,12184,100%,AR
Gregg,28693,11623,100%,TX
Warren,28673,16966,100%,KY
Lincoln,28653,9836,100%,NC
Sevier,28610,6293,100%,TN
Rockwall,28396,9633,100%,TX
Cleveland,28394,14896,100%,NC
Bay,28327,21641,100%,MI
Cape May,28237,18626,100%,NJ
Berkeley,28210,12287,100%,WV
Durham,27879,118783,100%,NC
San Juan,27879,12826,100%,NM
Pueblo,27746,27945,100%,CO
Lauderdale,27735,9877,100%,AL
Elmore,27619,8436,100%,AL
Wichita,27609,8752,100%,TX
Eaton,27608,24534,100%,MI
Cecil,27579,12651,100%,MD
Craven,27556,17481,100%,NC
Grand Traverse,27412,20964,100%,MI
Black Hawk,27382,32006,100%,IA
Tom Green,27376,9117,100%,TX
Wayne,27360,21520,100%,NC
Somerset,27347,7367,100%,PA
Harnett,27278,16452,100%,NC
Schenectady,27268,30870,100%,NY
Hardin,26970,13944,100%,KY
Rock Island,26969,32258,100%,IL
Cape Girardeau,26939,8468,100%,MO
Muscogee,26901,39602,100%,GA
St. Mary's,26889,15786,100%,MD
Macon,26782,18211,100%,IL
Bonneville,26699,8930,100%,ID
Dodge,26643,13968,100%,WI
Polk,26587,7123,100%,TX
Josephine,26582,13223,100%,OR
Caldwell,26499,8403,100%,NC
Rockingham,26463,14057,100%,NC
Lenawee,26428,16750,100%,MI
La Crosse,26384,32402,100%,WI
Monterey,26378,64733,100%,CA
LaSalle,26269,19277,100%,IL
Carteret,26228,9806,100%,NC
Bullitt,26210,8255,100%,KY
Augusta,26152,8108,100%,VA
St. Croix,26123,17496,100%,WI
Tuscarawas,26105,11895,100%,OH
Frederick,26069,11920,100%,VA
Garland,26053,12283,100%,AR
Oswego,25870,15614,100%,NY
Sandoval,25748,27405,100%,NM
Burke,25741,10930,100%,NC
Walton,25695,6861,100%,FL
Madison,25607,18358,100%,MS
Orange,25385,5716,100%,TX
Lawrence,25323,13933,100%,PA
Rockingham,25269,9361,100%,VA
Putnam,25241,17363,100%,NY
Wood,25168,8327,100%,WV
Dona Ana,25095,37543,100%,NM
Steuben,25091,11215,100%,NY
Kankakee,25081,18908,100%,IL
Hancock,25050,8901,100%,IN
Campbell,25050,14658,100%,KY
Cochise,25036,15291,100%,AZ
Ector,24976,10225,100%,TX
Platte,24975,18915,100%,MO
Indiana,24920,11468,100%,PA
Hinds,24919,64922,100%,MS
Bowie,24913,8831,100%,TX
Laramie,24844,11572,100%,WY
Douglas,24803,30971,100%,GA
Calvert,24680,16669,100%,MD
Woodbury,24627,16102,100%,IA
Cole,24610,10907,100%,MO
Richmond,24441,48707,100%,GA
Pottawattamie,24441,15341,100%,IA
Northumberland,24418,9184,100%,PA
Ontario,24343,20233,100%,NY
Skagit,24330,26076,94%,WA
Orleans,24267,133833,100%,LA
Delaware,24217,18100,100%,IN
Cumberland,24213,27045,100%,NJ
Walker,24208,4486,100%,AL
Charles,24163,46063,100%,MD
Kendall,24152,23392,100%,IL
Oconee,24096,7979,100%,SC
Cowlitz,24066,17842,97%,WA
Floyd,24045,9127,100%,GA
Crawford,23912,10215,100%,PA
Kosciusko,23909,6311,100%,IN
Clearfield,23909,7700,100%,PA
Midland,23877,15655,100%,MI
Hunt,23866,6301,100%,TX
Maury,23781,10026,100%,TN
Hancock,23777,9419,100%,OH
Howard,23675,11215,100%,IN
Morgan,23671,6037,100%,IN
Newport News,23650,40997,98%,VA
Wilkes,23613,6596,100%,NC
Lancaster,23598,13718,100%,SC
Muskingum,23588,10926,100%,OH
Henderson,23574,5649,100%,TX
Natrona,23523,6573,100%,WY
Surry,23495,7438,100%,NC
Madison,23431,11793,100%,KY
Jefferson,23409,16559,100%,WI
Dubuque,23384,22774,100%,IA
Gallatin,23360,23879,100%,MT
Eau Claire,23301,27271,100%,WI
Manitowoc,23234,14563,100%,WI
Nash,23142,23024,100%,NC
Wagoner,22967,6711,100%,OK
Pulaski,22900,4208,100%,KY
Blount,22808,2150,100%,AL
Craighead,22798,10474,100%,AR
Ashtabula,22755,15191,100%,OH
Adams,22732,7633,100%,IL
Baltimore City,22726,178562,99%,MD
LaPorte,22678,19795,100%,IN
Armstrong,22676,6849,100%,PA
Bibb,22589,34383,100%,GA
Yamhill,22589,18635,100%,OR
Crow Wing,22287,10982,100%,MN
Fauquier,22110,12960,100%,VA
St. Landry,21966,17208,100%,LA
Wayne,21935,12378,100%,NY
Vigo,21924,15922,100%,IN
Monroe,21885,18949,100%,FL
Putnam,21873,9920,100%,FL
Raleigh,21835,6362,100%,WV
Stanly,21788,7008,100%,NC
DeKalb,21779,3682,100%,AL
Jackson,21754,4469,100%,GA
Pittsylvania,21742,9195,100%,VA
Missoula,21699,30740,100%,MT
Lee,21695,9635,100%,MS
Rutherford,21694,7451,100%,NC
Angelina,21666,7538,100%,TX
Clinton,21635,16490,100%,MI
Manchester,21554,24941,100%,NH
Creek,21539,5834,100%,OK
Whitfield,21514,7925,100%,GA
Williamson,21503,8539,100%,IL
Wood,21502,14232,100%,WI
Glynn,21482,11738,100%,GA
Floyd,21427,13939,100%,IN
Hood,21367,4001,100%,TX
Madison,21321,15438,100%,TN
Buchanan,21315,12010,100%,MO
Lowndes,21308,14614,100%,GA
James City,21284,19091,100%,VA
Victoria,21253,8843,100%,TX
Acadia,21159,5638,100%,LA
Barrow,21105,6580,100%,GA
Twin Falls,21063,6844,100%,ID
White,21038,5157,100%,AR
Johnson,20993,49942,100%,IA
Otter Tail,20939,9339,100%,MN
Newton,20907,21936,100%,GA
Iberia,20903,10698,100%,LA
Catoosa,20860,4769,100%,GA
Wicomico,20832,16327,100%,MD
McCracken,20774,9134,100%,KY
Belmont,20729,8652,100%,OH
Jefferson,20668,9483,100%,OH
Wise,20655,3412,100%,TX
Bartholomew,20637,9841,100%,IN
Talladega,20596,12108,100%,AL
Laurel,20592,3440,100%,KY
Yuma,20586,18336,100%,AZ
Newton,20546,4988,100%,MO
Monroe,20527,34183,100%,IN
Oldham,20469,10268,100%,KY
Cumberland,20410,5202,100%,TN
Columbia,20359,7599,100%,FL
Robeson,20294,18377,100%,NC
St. Louis City,20281,101487,100%,MO
Klamath,20170,7080,100%,OR
Santa Cruz,20158,85185,100%,CA
Arlington,20155,91879,100%,VA
Jones,20076,7748,100%,MS
Allegany,20025,6665,100%,MD
Jefferson,19947,12289,100%,NY
Lonoke,19902,5638,100%,AR
Washington,19901,7841,100%,OH
Norfolk,19875,51429,100%,VA
Vermilion,19807,4745,100%,LA
Scioto,19742,8841,100%,OH
Pike,19740,4277,100%,KY
Darke,19698,4395,100%,OH
Boone,19654,10181,100%,IN
Cabell,19648,11306,100%,WV
Hardin,19600,2779,100%,TX
Potter,19499,7620,100%,TX
Bedford,19455,3613,100%,PA
Montgomery,19455,20015,100%,VA
Campbell,19442,6597,100%,VA
Robertson,19393,6634,100%,TN
Cascade,19343,12053,100%,MT
Washington,19309,5548,100%,VA
Erie,19301,15692,100%,OH
Dallas,19288,15662,100%,IA
Shiawassee,19232,12547,100%,MI
Albemarle,19232,33297,100%,VA
Madera,19221,13283,100%,CA
Livingston,19211,10478,100%,NY
Anderson,19201,9010,100%,TN
Barry,19197,9109,100%,MI
